Rank ,Puzzles , AMT (s)  ,Solved rate   ,1-sigma Mean (s)   , 1-sigma STD (s)   ,nums
 856, 2  2  4  9 , 9.64, 90.6%, 9.92, 4.31,"[2, 2, 4, 9]"
 857, 6  6  8  12 , 9.64, 90.9%, 10, 4.3,"[6, 6, 8, 12]"
 858, 1  7  12  12 , 9.65, 80.3%, 8.89, 4.36,"[1, 7, 12, 12]"
 859, 3  3  6  9 , 9.65, 94.3%, 10.32, 4.11,"[3, 3, 6, 9]"
 860, 3  5  9  13 , 9.65, 91.3%, 9.98, 4.05,"[3, 5, 9, 13]"
 861, 3  7  8  13 , 9.65, 84.1%, 9.6, 4.87,"[3, 7, 8, 13]"
 862, 4  4  5  7 , 9.68, 85.1%, 9.39, 4.47,"[4, 4, 5, 7]"
 863, 4  9  12  12 , 9.73, 89.5%, 10.2, 4.37,"[4, 9, 12, 12]"
 864, 3  3  7  9 , 9.74, 90.6%, 9.92, 3.76,"[3, 3, 7, 9]"
 865, 1  5  6  13 , 9.76, 90.3%, 10.1, 4.64,"[1, 5, 6, 13]"
 866, 2  3  4  10 , 9.76, 91.9%, 10.21, 4.23,"[2, 3, 4, 10]"
 867, 2  4  6  13 , 9.77, 87.4%, 10.06, 5.05,"[2, 4, 6, 13]"
 868, 3  8  8  11 , 9.77, 89.7%, 9.93, 4.56,"[3, 8, 8, 11]"
 869, 1  5  5  11 , 9.79, 88%, 9.89, 4.15,"[1, 5, 5, 11]"
 870, 6  6  8  8 , 9.8, 85.9%, 9.67, 4.41,"[6, 6, 8, 8]"
 871, 5  6  9  12 , 9.81, 87.3%, 9.86, 4.29,"[5, 6, 9, 12]"
 872, 2  3  9  13 , 9.82, 87.6%, 10.1, 5.27,"[2, 3, 9, 13]"
 873, 4  9  9  10 , 9.82, 89.9%, 10.07, 4.08,"[4, 9, 9, 10]"
 874, 2  4  5  11 , 9.83, 87.3%, 10.04, 4.7,"[2, 4, 5, 11]"
 875, 6  7  9  12 , 9.84, 86.8%, 9.74, 4.74,"[6, 7, 9, 12]"
 876, 3  3  3  5 , 9.85, 85.7%, 9.55, 4.04,"[3, 3, 3, 5]"
 877, 6  9  10  11 , 9.87, 91.5%, 10.2, 4.1,"[6, 9, 10, 11]"
 878, 6  12  13  13 , 9.89, 87.4%, 9.95, 3.83,"[6, 12, 13, 13]"
 879, 1  7  9  10 , 9.93, 86.9%, 9.86, 3.94,"[1, 7, 9, 10]"
 880, 2  2  2  5 , 9.93, 78.6%, 9.07, 4.76,"[2, 2, 2, 5]"
 881, 5  7  9  13 , 9.94, 91%, 10.38, 4.07,"[5, 7, 9, 13]"
 882, 1  2  5  10 , 9.95, 91.7%, 10.15, 4.01,"[1, 2, 5, 10]"
 883, 4  4  6  13 , 9.96, 82.7%, 9.49, 5.05,"[4, 4, 6, 13]"
 884, 3  3  6  10 , 9.97, 86.4%, 9.81, 4.24,"[3, 3, 6, 10]"
 885, 6  11  11  12 , 9.98, 86.4%, 9.87, 3.99,"[6, 11, 11, 12]"
 886, 3  6  9  11 , 9.99, 86.7%, 9.89, 4.63,"[3, 6, 9, 11]"
 887, 6  10  12  12 , 10, 88.9%, 10.27, 4.57,"[6, 10, 12, 12]"
 888, 1  3  3  11 , 10.01, 88.2%, 9.98, 4.66,"[1, 3, 3, 11]"
 889, 4  9  11  12 , 10.01, 88.9%, 10.23, 4.3,"[4, 9, 11, 12]"
 890, 6  8  9  11 , 10.01, 84.4%, 9.9, 4.72,"[6, 8, 9, 11]"
 891, 7  8  9  13 , 10.01, 84.1%, 9.73, 4.22,"[7, 8, 9, 13]"
 892, 3  4  5  6 , 10.03, 84.1%, 9.94, 4.97,"[3, 4, 5, 6]"
 893, 3  4  8  11 , 10.05, 87.1%, 10.09, 4.98,"[3, 4, 8, 11]"
 894, 3  4  4  13 , 10.06, 89%, 10.18, 4.24,"[3, 4, 4, 13]"
 895, 4  5  6  10 , 10.06, 90.4%, 10.59, 4.43,"[4, 5, 6, 10]"
 896, 4  6  7  10 , 10.06, 86.7%, 10.18, 4.78,"[4, 6, 7, 10]"
 897, 3  3  6  13 , 10.07, 86.3%, 10.32, 5.3,"[3, 3, 6, 13]"
 898, 1  8  10  11 , 10.08, 87.2%, 10.06, 3.44,"[1, 8, 10, 11]"
 899, 2  4  12  12 , 10.09, 85.7%, 10.08, 4.76,"[2, 4, 12, 12]"
 900, 1  2  4  7 , 10.1, 89.5%, 10.46, 4.92,"[1, 2, 4, 7]"
 901, 2  6  12  12 , 10.11, 88.9%, 10.52, 5.1,"[2, 6, 12, 12]"
 902, 1  11  11  13 , 10.12, 87.9%, 10.16, 4.36,"[1, 11, 11, 13]"
 903, 2  5  8  11 , 10.12, 86%, 10.3, 5.12,"[2, 5, 8, 11]"
 904, 5  5  5  9 , 10.12, 87.7%, 9.84, 4.12,"[5, 5, 5, 9]"
 905, 5  5  6  11 , 10.12, 87.1%, 10.05, 4.59,"[5, 5, 6, 11]"
 906, 6  7  8  9 , 10.12, 84.4%, 9.78, 4.44,"[6, 7, 8, 9]"
 907, 2  3  6  9 , 10.14, 93.3%, 10.61, 4.19,"[2, 3, 6, 9]"
 908, 1  2  8  13 , 10.15, 91.4%, 10.42, 4.72,"[1, 2, 8, 13]"
 909, 6  8  9  9 , 10.15, 86.3%, 10.14, 4.15,"[6, 8, 9, 9]"
 910, 1  5  10  11 , 10.2, 86.3%, 9.99, 3.67,"[1, 5, 10, 11]"
 911, 3  3  7  12 , 10.2, 84.6%, 10.13, 5.34,"[3, 3, 7, 12]"
 912, 4  6  6  9 , 10.21, 87.9%, 10.57, 5.33,"[4, 6, 6, 9]"
 913, 1  3  5  9 , 10.22, 90.5%, 10.48, 4.49,"[1, 3, 5, 9]"
 914, 2  4  8  9 , 10.22, 84%, 9.94, 4.56,"[2, 4, 8, 9]"
 915, 3  4  6  11 , 10.22, 89%, 10.43, 4.58,"[3, 4, 6, 11]"
 916, 1  5  9  13 , 10.24, 85%, 10.18, 4.79,"[1, 5, 9, 13]"
 917, 1  4  4  8 , 10.25, 89.7%, 10.51, 5.49,"[1, 4, 4, 8]"
 918, 1  4  5  13 , 10.25, 87.7%, 10.39, 4.55,"[1, 4, 5, 13]"
 919, 4  5  7  9 , 10.26, 86.7%, 10.55, 5.1,"[4, 5, 7, 9]"
 920, 2  4  6  12 , 10.29, 94.4%, 11.09, 4.77,"[2, 4, 6, 12]"
 921, 3  6  9  12 , 10.3, 92.9%, 10.77, 4.19,"[3, 6, 9, 12]"
 922, 5  5  8  10 , 10.3, 81.4%, 9.76, 4.01,"[5, 5, 8, 10]"
 923, 6  9  12  13 , 10.3, 88.4%, 10.48, 4.28,"[6, 9, 12, 13]"
 924, 4  7  9  13 , 10.31, 84.3%, 10.41, 5.75,"[4, 7, 9, 13]"
 925, 3  3  6  7 , 10.33, 88.9%, 10.7, 4.61,"[3, 3, 6, 7]"
 926, 2  2  7  12 , 10.34, 83.1%, 9.86, 4.42,"[2, 2, 7, 12]"
 927, 2  4  6  7 , 10.34, 90%, 10.47, 4.3,"[2, 4, 6, 7]"
 928, 5  6  8  12 , 10.35, 87.9%, 10.39, 4.09,"[5, 6, 8, 12]"
 929, 6  7  8  11 , 10.35, 83.8%, 10.1, 4.95,"[6, 7, 8, 11]"
 930, 7  9  9  13 , 10.38, 87.9%, 10.38, 4.65,"[7, 9, 9, 13]"
 931, 5  6  8  10 , 10.39, 87%, 10.37, 4.42,"[5, 6, 8, 10]"
 932, 5  8  11  12 , 10.39, 87%, 10.59, 4.25,"[5, 8, 11, 12]"
 933, 5  6  7  13 , 10.41, 86.3%, 10.61, 5.48,"[5, 6, 7, 13]"
 934, 2  2  8  8 , 10.43, 91.3%, 10.79, 4.75,"[2, 2, 8, 8]"
 935, 6  6  7  12 , 10.44, 83.9%, 10.13, 4.76,"[6, 6, 7, 12]"
 936, 2  5  10  10 , 10.46, 78.5%, 9.57, 4,"[2, 5, 10, 10]"
 937, 2  6  8  12 , 10.48, 94%, 11.16, 4.55,"[2, 6, 8, 12]"
 938, 4  5  6  8 , 10.5, 87.6%, 10.44, 4.29,"[4, 5, 6, 8]"
 939, 4  5  10  12 , 10.52, 86.4%, 10.39, 4.38,"[4, 5, 10, 12]"
 940, 6  9  9  11 , 10.52, 82.4%, 9.84, 5.11,"[6, 9, 9, 11]"
 941, 6  11  12  13 , 10.53, 80.3%, 9.7, 5.04,"[6, 11, 12, 13]"
 942, 1  2  7  11 , 10.55, 88.3%, 10.67, 4.74,"[1, 2, 7, 11]"
 943, 2  7  12  13 , 10.56, 80.3%, 9.81, 4.88,"[2, 7, 12, 13]"
 944, 1  4  4  11 , 10.57, 86.5%, 10.5, 5.19,"[1, 4, 4, 11]"
 945, 6  10  12  13 , 10.57, 82.5%, 10.11, 4.74,"[6, 10, 12, 13]"
 946, 1  3  9  9 , 10.61, 85%, 10.22, 4.08,"[1, 3, 9, 9]"
 947, 2  3  9  10 , 10.61, 89.8%, 10.83, 4.25,"[2, 3, 9, 10]"
 948, 1  2  3  13 , 10.66, 91.8%, 11, 4.81,"[1, 2, 3, 13]"
 949, 3  4  6  8 , 10.66, 90.9%, 11.24, 5.05,"[3, 4, 6, 8]"
 950, 3  4  9  13 , 10.67, 79.5%, 9.61, 5.46,"[3, 4, 9, 13]"
 951, 6  7  10  12 , 10.68, 85.2%, 10.68, 4.76,"[6, 7, 10, 12]"
 952, 1  3  6  11 , 10.7, 88.2%, 10.61, 4.35,"[1, 3, 6, 11]"
 953, 1  7  9  11 , 10.7, 85.2%, 10.47, 4.27,"[1, 7, 9, 11]"
 954, 1  2  2  9 , 10.71, 82.3%, 10.01, 4.54,"[1, 2, 2, 9]"
 955, 2  3  6  6 , 10.72, 91.8%, 11.12, 4.39,"[2, 3, 6, 6]"
 956, 5  10  12  13 , 10.74, 83.5%, 10.3, 4.44,"[5, 10, 12, 13]"
 957, 1  7  10  13 , 10.76, 83.6%, 10.4, 4.62,"[1, 7, 10, 13]"
 958, 2  2  5  12 , 10.77, 84.6%, 10.61, 5.19,"[2, 2, 5, 12]"
 959, 7  8  8  12 , 10.77, 83.6%, 10.39, 4.5,"[7, 8, 8, 12]"
 960, 1  6  6  6 , 10.8, 85.6%, 10.34, 5.1,"[1, 6, 6, 6]"
 961, 1  3  8  13 , 10.81, 90.4%, 11.11, 5.01,"[1, 3, 8, 13]"
 962, 2  5  7  7 , 10.82, 82.7%, 10.41, 4.68,"[2, 5, 7, 7]"
 963, 2  6  8  13 , 10.82, 87.2%, 10.95, 5.09,"[2, 6, 8, 13]"
 964, 2  3  6  13 , 10.83, 90.1%, 10.9, 4.56,"[2, 3, 6, 13]"
 965, 8  8  10  12 , 10.85, 78.7%, 9.81, 5.64,"[8, 8, 10, 12]"
 966, 4  4  7  10 , 10.88, 75%, 9.01, 4.45,"[4, 4, 7, 10]"
 967, 4  4  8  12 , 10.89, 92.2%, 11.59, 5,"[4, 4, 8, 12]"
 968, 3  9  10  13 , 10.9, 82.9%, 11.03, 6.35,"[3, 9, 10, 13]"
 969, 1  2  6  10 , 10.92, 86.6%, 10.87, 4.96,"[1, 2, 6, 10]"
 970, 1  9  10  13 , 10.92, 83.2%, 10.39, 4.48,"[1, 9, 10, 13]"
 971, 2  3  4  7 , 10.94, 86.8%, 10.87, 4.9,"[2, 3, 4, 7]"
 972, 3  3  4  11 , 10.94, 88.7%, 11.03, 5.45,"[3, 3, 4, 11]"
 973, 5  6  6  8 , 10.97, 81.4%, 10.5, 5.81,"[5, 6, 6, 8]"
 974, 3  3  9  12 , 11.02, 87.2%, 11.07, 4.93,"[3, 3, 9, 12]"
 975, 7  7  8  11 , 11.04, 80.4%, 10.11, 4.48,"[7, 7, 8, 11]"
 976, 2  3  4  9 , 11.05, 88.4%, 11.16, 4.72,"[2, 3, 4, 9]"
 977, 5  8  8  8 , 11.05, 80.5%, 10.51, 5.23,"[5, 8, 8, 8]"
 978, 1  3  7  10 , 11.06, 86.4%, 11.02, 5.26,"[1, 3, 7, 10]"
 979, 2  3  10  12 , 11.06, 86.6%, 11.24, 4.07,"[2, 3, 10, 12]"
 980, 5  9  12  12 , 11.07, 83%, 10.77, 4.72,"[5, 9, 12, 12]"
 981, 3  4  6  6 , 11.08, 90.5%, 11.31, 4.61,"[3, 4, 6, 6]"
 982, 3  5  7  10 , 11.08, 84.6%, 10.73, 5.12,"[3, 5, 7, 10]"
 983, 2  4  5  6 , 11.16, 91.1%, 11.64, 4.47,"[2, 4, 5, 6]"
 984, 1  5  12  12 , 11.18, 81%, 10.32, 4.95,"[1, 5, 12, 12]"
 985, 2  6  7  11 , 11.18, 82.7%, 10.64, 5.14,"[2, 6, 7, 11]"
 986, 5  5  8  13 , 11.2, 80.9%, 10.67, 4.52,"[5, 5, 8, 13]"
 987, 6  8  8  12 , 11.21, 88%, 11.44, 5.03,"[6, 8, 8, 12]"
 988, 2  4  6  11 , 11.22, 85.2%, 11.05, 5.45,"[2, 4, 6, 11]"
 989, 2  3  3  10 , 11.29, 84.7%, 11.33, 4.88,"[2, 3, 3, 10]"
 990, 3  4  8  12 , 11.29, 87.8%, 11.27, 5.45,"[3, 4, 8, 12]"
 991, 4  4  9  12 , 11.31, 78.5%, 10.22, 4.72,"[4, 4, 9, 12]"
 992, 4  10  12  13 , 11.32, 81.3%, 10.42, 5.55,"[4, 10, 12, 13]"
 993, 1  5  6  7 , 11.33, 89%, 11.62, 4.68,"[1, 5, 6, 7]"
 994, 4  9  10  13 , 11.33, 82.4%, 10.8, 4.86,"[4, 9, 10, 13]"
 995, 5  8  10  11 , 11.36, 87.3%, 11, 4.77,"[5, 8, 10, 11]"
 996, 2  2  8  9 , 11.39, 86.9%, 11.53, 5.01,"[2, 2, 8, 9]"
 997, 2  4  4  6 , 11.41, 90.2%, 11.75, 4.73,"[2, 4, 4, 6]"
 998, 2  4  6  8 , 11.41, 93.3%, 11.82, 4.43,"[2, 4, 6, 8]"
 999, 2  4  9  12 , 11.41, 87.3%, 11.39, 4.82,"[2, 4, 9, 12]"
 1000, 3  3  6  12 , 11.41, 86.9%, 11.58, 6.01,"[3, 3, 6, 12]"
 1001, 1  2  7  12 , 11.43, 77.6%, 9.83, 5.69,"[1, 2, 7, 12]"
 1002, 2  3  4  5 , 11.43, 84.5%, 11.1, 5.65,"[2, 3, 4, 5]"
 1003, 4  4  5  11 , 11.46, 85.1%, 11.3, 4.79,"[4, 4, 5, 11]"
 1004, 3  3  5  12 , 11.48, 86.9%, 11.55, 5.18,"[3, 3, 5, 12]"
 1005, 4  8  11  13 , 11.5, 82.4%, 10.64, 5.23,"[4, 8, 11, 13]"
 1006, 8  9  9  12 , 11.5, 82.6%, 10.87, 4.71,"[8, 9, 9, 12]"
 1007, 1  4  7  7 , 11.52, 85.5%, 11.33, 4.62,"[1, 4, 7, 7]"
 1008, 2  5  6  6 , 11.53, 78.3%, 10.16, 5.78,"[2, 5, 6, 6]"
 1009, 3  4  6  9 , 11.53, 82.5%, 10.9, 5.54,"[3, 4, 6, 9]"
 1010, 1  3  4  8 , 11.54, 89.6%, 11.66, 4.68,"[1, 3, 4, 8]"
 1011, 6  7  9  9 , 11.54, 80.2%, 10.79, 5.98,"[6, 7, 9, 9]"
 1012, 3  6  7  13 , 11.56, 82.6%, 10.9, 6.11,"[3, 6, 7, 13]"
 1013, 7  8  10  10 , 11.56, 79%, 10.69, 4.97,"[7, 8, 10, 10]"
 1014, 2  3  5  7 , 11.57, 89.1%, 11.67, 4.95,"[2, 3, 5, 7]"
 1015, 1  6  7  9 , 11.64, 84.5%, 11.38, 4.72,"[1, 6, 7, 9]"
 1016, 4  5  6  13 , 11.64, 78%, 10.33, 5.21,"[4, 5, 6, 13]"
 1017, 3  7  8  11 , 11.68, 83.1%, 11.29, 5.76,"[3, 7, 8, 11]"
 1018, 4  6  7  12 , 11.68, 81.3%, 11.26, 5.46,"[4, 6, 7, 12]"
 1019, 1  3  7  7 , 11.71, 85.4%, 11.51, 4.67,"[1, 3, 7, 7]"
 1020, 1  5  7  9 , 11.71, 84.5%, 11.22, 4.91,"[1, 5, 7, 9]"
 1021, 3  7  9  12 , 11.71, 86%, 11.71, 5.63,"[3, 7, 9, 12]"
 1022, 3  3  5  13 , 11.72, 85%, 11.49, 4.79,"[3, 3, 5, 13]"
 1023, 6  8  9  12 , 11.72, 86.7%, 11.73, 5.07,"[6, 8, 9, 12]"
 1024, 1  3  7  12 , 11.73, 85.4%, 11.07, 5.04,"[1, 3, 7, 12]"
 1025, 3  5  7  9 , 11.75, 86.4%, 11.52, 4.91,"[3, 5, 7, 9]"
 1026, 2  6  10  13 , 11.76, 84.7%, 11.38, 5.48,"[2, 6, 10, 13]"
 1027, 3  7  9  11 , 11.77, 88.2%, 11.89, 4.91,"[3, 7, 9, 11]"
 1028, 1  4  8  9 , 11.79, 89%, 11.96, 5.09,"[1, 4, 8, 9]"
 1029, 2  7  9  11 , 11.8, 83.7%, 11.44, 5.45,"[2, 7, 9, 11]"
 1030, 2  5  8  10 , 11.81, 82.8%, 11, 4.8,"[2, 5, 8, 10]"
 1031, 3  5  10  13 , 11.81, 82.5%, 11.06, 5.36,"[3, 5, 10, 13]"
 1032, 4  8  9  13 , 11.81, 82.4%, 10.97, 6.11,"[4, 8, 9, 13]"
 1033, 2  3  7  13 , 11.86, 86.3%, 11.74, 5.34,"[2, 3, 7, 13]"
 1034, 4  6  8  13 , 11.87, 81%, 11.03, 5.2,"[4, 6, 8, 13]"
 1035, 4  8  8  10 , 11.88, 85.6%, 11.71, 5.55,"[4, 8, 8, 10]"
 1036, 5  5  8  12 , 11.91, 79.5%, 10.99, 5.06,"[5, 5, 8, 12]"
 1037, 5  8  10  12 , 11.92, 84.3%, 11.26, 5.15,"[5, 8, 10, 12]"
 1038, 4  5  5  10 , 11.94, 81%, 11.04, 4.48,"[4, 5, 5, 10]"
 1039, 7  8  9  10 , 11.97, 79.8%, 11.12, 5.38,"[7, 8, 9, 10]"
 1040, 3  5  6  10 , 11.98, 85.9%, 11.73, 5.63,"[3, 5, 6, 10]"
 1041, 1  3  3  6 , 12.02, 87.3%, 11.95, 5.21,"[1, 3, 3, 6]"
 1042, 2  9  11  13 , 12.02, 82%, 11.38, 5.46,"[2, 9, 11, 13]"
 1043, 2  5  11  12 , 12.03, 76.9%, 10.46, 5.43,"[2, 5, 11, 12]"
 1044, 2  5  7  13 , 12.11, 83.9%, 11.82, 5.63,"[2, 5, 7, 13]"
 1045, 2  3  5  13 , 12.13, 85.6%, 11.97, 5.39,"[2, 3, 5, 13]"
 1046, 2  5  5  7 , 12.13, 82.1%, 11.64, 4.89,"[2, 5, 5, 7]"
 1047, 3  3  3  11 , 12.15, 78.1%, 10.81, 5.42,"[3, 3, 3, 11]"
 1048, 1  5  8  11 , 12.17, 89.4%, 12.52, 5.6,"[1, 5, 8, 11]"
 1049, 4  6  6  12 , 12.17, 85.9%, 11.71, 5.88,"[4, 6, 6, 12]"
 1050, 3  4  8  9 , 12.21, 88%, 12.35, 5.09,"[3, 4, 8, 9]"
 1051, 2  5  7  11 , 12.23, 82.5%, 11.63, 5.72,"[2, 5, 7, 11]"
 1052, 2  4  4  5 , 12.28, 82.1%, 11.39, 5.18,"[2, 4, 4, 5]"
 1053, 2  3  6  12 , 12.32, 91.2%, 12.79, 5.21,"[2, 3, 6, 12]"
 1054, 2  4  4  10 , 12.33, 89.7%, 12.46, 5.17,"[2, 4, 4, 10]"
 1055, 7  10  10  12 , 12.36, 78.1%, 11.24, 5.26,"[7, 10, 10, 12]"
 1056, 2  6  6  7 , 12.38, 78.3%, 10.85, 5.64,"[2, 6, 6, 7]"
 1057, 6  9  9  12 , 12.39, 87%, 12.25, 5.83,"[6, 9, 9, 12]"
 1058, 3  3  3  4 , 12.4, 82.4%, 11.59, 5.95,"[3, 3, 3, 4]"
 1059, 4  9  10  11 , 12.41, 76.7%, 10.71, 5.79,"[4, 9, 10, 11]"
 1060, 4  4  6  9 , 12.43, 77.1%, 10.63, 5.64,"[4, 4, 6, 9]"
 1061, 1  4  5  7 , 12.49, 88%, 12.49, 5.26,"[1, 4, 5, 7]"
 1062, 4  10  11  13 , 12.52, 75.8%, 10.65, 5.67,"[4, 10, 11, 13]"
 1063, 7  9  10  11 , 12.53, 76.9%, 10.94, 5.4,"[7, 9, 10, 11]"
 1064, 4  4  6  10 , 12.54, 87.6%, 12.56, 5.3,"[4, 4, 6, 10]"
 1065, 4  4  7  8 , 12.57, 83.9%, 12.35, 5.6,"[4, 4, 7, 8]"
 1066, 3  4  9  9 , 12.59, 84.2%, 12.15, 5.02,"[3, 4, 9, 9]"
 1067, 3  3  6  8 , 12.6, 74.7%, 10.49, 5.67,"[3, 3, 6, 8]"
 1068, 2  2  2  7 , 12.61, 72.6%, 9.6, 5.69,"[2, 2, 2, 7]"
 1069, 6  9  10  12 , 12.68, 80.1%, 11.58, 6.11,"[6, 9, 10, 12]"
 1070, 1  5  8  13 , 12.73, 80.1%, 11.55, 5.82,"[1, 5, 8, 13]"
 1071, 7  7  9  10 , 12.73, 75.8%, 11.31, 5.25,"[7, 7, 9, 10]"
 1072, 2  4  5  7 , 12.75, 78.4%, 11.36, 5.63,"[2, 4, 5, 7]"
 1073, 1  4  7  9 , 12.76, 82.2%, 11.96, 5.1,"[1, 4, 7, 9]"
 1074, 3  5  11  12 , 12.76, 80%, 11.51, 5.81,"[3, 5, 11, 12]"
 1075, 4  6  9  13 , 12.78, 85.3%, 12.76, 5.3,"[4, 6, 9, 13]"
 1076, 3  5  6  11 , 12.79, 82.4%, 12.11, 6.63,"[3, 5, 6, 11]"
 1077, 2  4  8  13 , 12.83, 82.3%, 12.18, 5.93,"[2, 4, 8, 13]"
 1078, 4  8  12  12 , 12.84, 85.4%, 12.24, 5.89,"[4, 8, 12, 12]"
 1079, 5  6  10  12 , 12.84, 75.9%, 11.04, 5.51,"[5, 6, 10, 12]"
 1080, 3  3  5  10 , 12.85, 83%, 12.09, 5.34,"[3, 3, 5, 10]"
 1081, 3  3  9  13 , 12.89, 74.3%, 10.73, 6.02,"[3, 3, 9, 13]"
 1082, 4  5  8  13 , 12.92, 78%, 11.46, 5.94,"[4, 5, 8, 13]"
 1083, 2  5  10  13 , 12.94, 81.9%, 12.35, 5.86,"[2, 5, 10, 13]"
 1084, 5  7  7  9 , 12.94, 74.2%, 11.15, 5.13,"[5, 7, 7, 9]"
 1085, 4  7  10  12 , 12.95, 79.7%, 11.56, 5.66,"[4, 7, 10, 12]"
 1086, 2  3  3  3 , 12.96, 82.2%, 11.95, 5.99,"[2, 3, 3, 3]"
 1087, 5  7  11  13 , 12.97, 70.9%, 10.1, 5.21,"[5, 7, 11, 13]"
 1088, 6  9  11  13 , 12.99, 72.8%, 10.45, 6.1,"[6, 9, 11, 13]"
 1089, 1  4  5  9 , 13.02, 82.2%, 12.13, 6.71,"[1, 4, 5, 9]"
 1090, 4  4  6  8 , 13.02, 84.2%, 12.43, 6.74,"[4, 4, 6, 8]"
 1091, 2  3  8  8 , 13.09, 80.4%, 11.93, 5.75,"[2, 3, 8, 8]"
 1092, 3  5  6  13 , 13.15, 76%, 11.39, 5.59,"[3, 5, 6, 13]"
 1093, 1  4  6  6 , 13.17, 80.2%, 11.95, 6.49,"[1, 4, 6, 6]"
 1094, 1  5  6  11 , 13.26, 80.9%, 12.1, 6.55,"[1, 5, 6, 11]"
 1095, 4  4  5  12 , 13.27, 78.9%, 11.74, 6.12,"[4, 4, 5, 12]"
 1096, 5  5  7  10 , 13.29, 74%, 11.51, 5.08,"[5, 5, 7, 10]"
 1097, 2  3  5  10 , 13.3, 80.3%, 12.08, 5.37,"[2, 3, 5, 10]"
 1098, 5  9  10  13 , 13.34, 78%, 11.62, 5.86,"[5, 9, 10, 13]"
 1099, 1  1  6  9 , 13.37, 80.6%, 11.56, 6.52,"[1, 1, 6, 9]"
 1100, 1  4  5  8 , 13.37, 82.4%, 12.59, 5.73,"[1, 4, 5, 8]"
 1101, 3  5  7  8 , 13.4, 85.2%, 13, 5.94,"[3, 5, 7, 8]"
 1102, 5  7  10  10 , 13.41, 76.6%, 12.19, 5.38,"[5, 7, 10, 10]"
 1103, 2  8  10  13 , 13.46, 80.9%, 12.7, 6.12,"[2, 8, 10, 13]"
 1104, 6  9  11  12 , 13.47, 75.5%, 11.21, 6.09,"[6, 9, 11, 12]"
 1105, 4  10  10  12 , 13.5, 78.2%, 12.24, 6.35,"[4, 10, 10, 12]"
 1106, 2  2  2  9 , 13.54, 76.2%, 11.13, 6.45,"[2, 2, 2, 9]"
 1107, 6  7  7  10 , 13.54, 72.8%, 10.9, 5.33,"[6, 7, 7, 10]"
 1108, 1  3  6  10 , 13.55, 82.3%, 12.25, 6.98,"[1, 3, 6, 10]"
 1109, 2  7  10  11 , 13.56, 78.7%, 12.34, 6.11,"[2, 7, 10, 11]"
 1110, 7  10  11  13 , 13.57, 73.6%, 11.23, 5.89,"[7, 10, 11, 13]"
 1111, 6  8  11  12 , 13.67, 77.9%, 12.4, 5.87,"[6, 8, 11, 12]"
 1112, 4  5  8  10 , 13.75, 75.8%, 11.46, 5.94,"[4, 5, 8, 10]"
 1113, 3  8  9  11 , 13.81, 79.9%, 12.77, 6.88,"[3, 8, 9, 11]"
 1114, 6  12  12  12 , 13.86, 76.6%, 11.74, 6.73,"[6, 12, 12, 12]"
 1115, 2  10  12  13 , 13.89, 81.5%, 13.19, 6.11,"[2, 10, 12, 13]"
 1116, 2  3  7  8 , 13.92, 80.4%, 12.8, 5.61,"[2, 3, 7, 8]"
 1117, 6  7  10  10 , 13.98, 70.6%, 10.6, 5.81,"[6, 7, 10, 10]"
 1118, 3  5  9  9 , 14.11, 79.3%, 13.02, 6.17,"[3, 5, 9, 9]"
 1119, 2  4  7  9 , 14.13, 80.5%, 13.28, 6.39,"[2, 4, 7, 9]"
 1120, 2  3  8  9 , 14.16, 81.2%, 12.95, 6.25,"[2, 3, 8, 9]"
 1121, 2  2  5  9 , 14.2, 74.2%, 11.87, 6.36,"[2, 2, 5, 9]"
 1122, 1  3  7  9 , 14.25, 80.2%, 12.79, 5.52,"[1, 3, 7, 9]"
 1123, 3  3  9  11 , 14.26, 79.1%, 13.18, 5.76,"[3, 3, 9, 11]"
 1124, 5  7  9  11 , 14.26, 71.3%, 11.15, 5.93,"[5, 7, 9, 11]"
 1125, 2  4  9  10 , 14.32, 79.4%, 13.1, 6.05,"[2, 4, 9, 10]"
 1126, 3  5  5  11 , 14.36, 79.4%, 13.29, 5.6,"[3, 5, 5, 11]"
 1127, 3  3  8  10 , 14.42, 80.7%, 13.73, 5.74,"[3, 3, 8, 10]"
 1128, 3  5  12  12 , 14.52, 67.3%, 9.88, 6.02,"[3, 5, 12, 12]"
 1129, 3  4  4  10 , 14.53, 77.2%, 12.27, 6.76,"[3, 4, 4, 10]"
 1130, 3  4  4  11 , 14.57, 76.4%, 12.71, 6.44,"[3, 4, 4, 11]"
 1131, 1  3  5  6 , 14.6, 86.2%, 14.28, 5.94,"[1, 3, 5, 6]"
 1132, 5  5  9  11 , 14.65, 71.4%, 12.33, 5.19,"[5, 5, 9, 11]"
 1133, 2  5  9  10 , 14.68, 78.2%, 13.2, 6.28,"[2, 5, 9, 10]"
 1134, 4  5  8  11 , 14.68, 73.4%, 11.86, 6.72,"[4, 5, 8, 11]"
 1135, 2  6  12  13 , 14.69, 78.5%, 13.47, 5.87,"[2, 6, 12, 13]"
 1136, 3  4  7  12 , 14.72, 82.5%, 14.19, 6.23,"[3, 4, 7, 12]"
 1137, 4  6  9  12 , 14.72, 77.6%, 12.72, 7,"[4, 6, 9, 12]"
 1138, 4  4  5  13 , 14.74, 73.1%, 12.07, 7.16,"[4, 4, 5, 13]"
